split_name,alpha,seed,n_train,n_test,test_stems,model,d_sp_classical,d_auc_classical,d_f1_classical,d_sp_fixed,d_auc_fixed,d_f1_fixed,d_sp_random,d_auc_random,d_f1_random,p_sp,p_auc,p_f1
scene_loo:scene_auto_01,0.03,33,587,67,00173_depth | 00174_depth | 00180_depth | 00181_depth | 00183_depth | 00184_depth | 00185_depth | 00186_depth | 00199_depth | 00200_depth | 00201_depth | 00210_depth | 00263_depth | 00271_depth | 00296_depth | 00298_depth | 00301_depth | 00356_depth | 00429_depth | 00430_depth | 00432_depth | 00433_depth | 00434_depth | 00469_depth | 00470_depth | 00472_depth | 00507_depth | 00525_depth | 00530_depth | 00532_depth | 00590_depth | 00591_depth | 00611_depth | 00612_depth | 00616_depth | 00617_depth | 00618_depth | 00619_depth | 00620_depth | 00632_depth | 00633_depth | 00707_depth | 00764_depth | 00765_depth | 00833_depth | 00839_depth | 00840_depth | 00975_depth | 01037_depth | 01057_depth | 01116_depth | 01117_depth | 01146_depth | 01201_depth | 01249_depth | 01258_depth | 01263_depth | 01274_depth | 01278_depth | 01290_depth | 01297_depth | 01337_depth | 01367_depth | 01383_depth | 01410_depth | 01411_depth | 01413_depth,motif_survival,0.00803227464752454,0.0037013849879172778,0.004818936434400789,0.04804606066373196,0.02634318011880321,0.050165158004689014,0.00799512462865748,0.003653942018797096,0.0057039433165946285,0.007751937984496124,0.007751937984496124,0.007751937984496124
scene_loo:scene_auto_01,0.03,33,587,67,00173_depth | 00174_depth | 00180_depth | 00181_depth | 00183_depth | 00184_depth | 00185_depth | 00186_depth | 00199_depth | 00200_depth | 00201_depth | 00210_depth | 00263_depth | 00271_depth | 00296_depth | 00298_depth | 00301_depth | 00356_depth | 00429_depth | 00430_depth | 00432_depth | 00433_depth | 00434_depth | 00469_depth | 00470_depth | 00472_depth | 00507_depth | 00525_depth | 00530_depth | 00532_depth | 00590_depth | 00591_depth | 00611_depth | 00612_depth | 00616_depth | 00617_depth | 00618_depth | 00619_depth | 00620_depth | 00632_depth | 00633_depth | 00707_depth | 00764_depth | 00765_depth | 00833_depth | 00839_depth | 00840_depth | 00975_depth | 01037_depth | 01057_depth | 01116_depth | 01117_depth | 01146_depth | 01201_depth | 01249_depth | 01258_depth | 01263_depth | 01274_depth | 01278_depth | 01290_depth | 01297_depth | 01337_depth | 01367_depth | 01383_depth | 01410_depth | 01411_depth | 01413_depth,motif_survival_pos_only,0.004568531574647983,0.002477640366743583,0.0037045876711477854,0.0445823175908554,0.025119435497629516,0.04905080924143601,0.004531381555780922,0.0024301973976234015,0.004589594553341625,0.023255813953488372,0.05426356589147287,0.015503875968992248
scene_loo:scene_auto_01,0.03,33,587,67,00173_depth | 00174_depth | 00180_depth | 00181_depth | 00183_depth | 00184_depth | 00185_depth | 00186_depth | 00199_depth | 00200_depth | 00201_depth | 00210_depth | 00263_depth | 00271_depth | 00296_depth | 00298_depth | 00301_depth | 00356_depth | 00429_depth | 00430_depth | 00432_depth | 00433_depth | 00434_depth | 00469_depth | 00470_depth | 00472_depth | 00507_depth | 00525_depth | 00530_depth | 00532_depth | 00590_depth | 00591_depth | 00611_depth | 00612_depth | 00616_depth | 00617_depth | 00618_depth | 00619_depth | 00620_depth | 00632_depth | 00633_depth | 00707_depth | 00764_depth | 00765_depth | 00833_depth | 00839_depth | 00840_depth | 00975_depth | 01037_depth | 01057_depth | 01116_depth | 01117_depth | 01146_depth | 01201_depth | 01249_depth | 01258_depth | 01263_depth | 01274_depth | 01278_depth | 01290_depth | 01297_depth | 01337_depth | 01367_depth | 01383_depth | 01410_depth | 01411_depth | 01413_depth,motif_survival_neg_only,0.003612168731410237,0.0012802667059187423,0.0012328076487804207,0.04362595474761766,0.023922061836804676,0.046579029219068646,0.0035750187125431765,0.0012328237367985606,0.00211781453097426,0.06976744186046512,0.26356589147286824,0.09302325581395349
scene_loo:scene_auto_01,0.03,33,587,67,00173_depth | 00174_depth | 00180_depth | 00181_depth | 00183_depth | 00184_depth | 00185_depth | 00186_depth | 00199_depth | 00200_depth | 00201_depth | 00210_depth | 00263_depth | 00271_depth | 00296_depth | 00298_depth | 00301_depth | 00356_depth | 00429_depth | 00430_depth | 00432_depth | 00433_depth | 00434_depth | 00469_depth | 00470_depth | 00472_depth | 00507_depth | 00525_depth | 00530_depth | 00532_depth | 00590_depth | 00591_depth | 00611_depth | 00612_depth | 00616_depth | 00617_depth | 00618_depth | 00619_depth | 00620_depth | 00632_depth | 00633_depth | 00707_depth | 00764_depth | 00765_depth | 00833_depth | 00839_depth | 00840_depth | 00975_depth | 01037_depth | 01057_depth | 01116_depth | 01117_depth | 01146_depth | 01201_depth | 01249_depth | 01258_depth | 01263_depth | 01274_depth | 01278_depth | 01290_depth | 01297_depth | 01337_depth | 01367_depth | 01383_depth | 01410_depth | 01411_depth | 01413_depth,motif_survival_binary,0.012529714620332366,0.0070350176026291455,0.004636330593912774,0.052543500636539786,0.02967681273351508,0.049982552164201,0.012492564601465306,0.006987574633508964,0.005521337476106614,0.007751937984496124,0.007751937984496124,0.007751937984496124
scene_loo:scene_auto_02,0.03,33,555,99,00028_depth | 00029_depth | 00031_depth | 00038_depth | 00058_depth | 00059_depth | 00076_depth | 00116_depth | 00191_depth | 00192_depth | 00197_depth | 00280_depth | 00357_depth | 00359_depth | 00388_depth | 00394_depth | 00443_depth | 00446_depth | 00473_depth | 00474_depth | 00475_depth | 00476_depth | 00516_depth | 00548_depth | 00554_depth | 00557_depth | 00558_depth | 00605_depth | 00606_depth | 00662_depth | 00671_depth | 00672_depth | 00676_depth | 00697_depth | 00708_depth | 00712_depth | 00727_depth | 00731_depth | 00732_depth | 00742_depth | 00743_depth | 00771_depth | 00803_depth | 00811_depth | 00812_depth | 00837_depth | 00849_depth | 00916_depth | 00927_depth | 00959_depth | 00960_depth | 00965_depth | 00971_depth | 00972_depth | 00990_depth | 00991_depth | 00992_depth | 01047_depth | 01048_depth | 01088_depth | 01092_depth | 01102_depth | 01125_depth | 01130_depth | 01143_depth | 01152_depth | 01153_depth | 01155_depth | 01161_depth | 01164_depth | 01170_depth | 01179_depth | 01182_depth | 01191_depth | 01193_depth | 01204_depth | 01211_depth | 01226_depth | 01228_depth | 01232_depth | 01234_depth | 01289_depth | 01328_depth | 01353_depth | 01354_depth | 01355_depth | 01364_depth | 01386_depth | 01387_depth | 01388_depth | 01396_depth | 01397_depth | 01398_depth | 01421_depth | 01423_depth | 01430_depth | 01432_depth | 01443_depth | 01444_depth,motif_survival,0.0076264859409906904,0.003583718626461452,0.0056299405245402445,0.04330281567232763,0.019602293679768068,0.04516896455096597,0.0076185208001210425,0.0035868470307460765,0.006302807434398816,0.007751937984496124,0.007751937984496124,0.007751937984496124
scene_loo:scene_auto_02,0.03,33,555,99,00028_depth | 00029_depth | 00031_depth | 00038_depth | 00058_depth | 00059_depth | 00076_depth | 00116_depth | 00191_depth | 00192_depth | 00197_depth | 00280_depth | 00357_depth | 00359_depth | 00388_depth | 00394_depth | 00443_depth | 00446_depth | 00473_depth | 00474_depth | 00475_depth | 00476_depth | 00516_depth | 00548_depth | 00554_depth | 00557_depth | 00558_depth | 00605_depth | 00606_depth | 00662_depth | 00671_depth | 00672_depth | 00676_depth | 00697_depth | 00708_depth | 00712_depth | 00727_depth | 00731_depth | 00732_depth | 00742_depth | 00743_depth | 00771_depth | 00803_depth | 00811_depth | 00812_depth | 00837_depth | 00849_depth | 00916_depth | 00927_depth | 00959_depth | 00960_depth | 00965_depth | 00971_depth | 00972_depth | 00990_depth | 00991_depth | 00992_depth | 01047_depth | 01048_depth | 01088_depth | 01092_depth | 01102_depth | 01125_depth | 01130_depth | 01143_depth | 01152_depth | 01153_depth | 01155_depth | 01161_depth | 01164_depth | 01170_depth | 01179_depth | 01182_depth | 01191_depth | 01193_depth | 01204_depth | 01211_depth | 01226_depth | 01228_depth | 01232_depth | 01234_depth | 01289_depth | 01328_depth | 01353_depth | 01354_depth | 01355_depth | 01364_depth | 01386_depth | 01387_depth | 01388_depth | 01396_depth | 01397_depth | 01398_depth | 01421_depth | 01423_depth | 01430_depth | 01432_depth | 01443_depth | 01444_depth,motif_survival_pos_only,0.004217392328090375,0.0023936492334659665,0.004824570828982244,0.03989372205942732,0.018412224286772583,0.04436359485540797,0.004209427187220727,0.002396777637750591,0.005497437738840816,0.031007751937984496,0.06201550387596899,0.007751937984496124
scene_loo:scene_auto_02,0.03,33,555,99,00028_depth | 00029_depth | 00031_depth | 00038_depth | 00058_depth | 00059_depth | 00076_depth | 00116_depth | 00191_depth | 00192_depth | 00197_depth | 00280_depth | 00357_depth | 00359_depth | 00388_depth | 00394_depth | 00443_depth | 00446_depth | 00473_depth | 00474_depth | 00475_depth | 00476_depth | 00516_depth | 00548_depth | 00554_depth | 00557_depth | 00558_depth | 00605_depth | 00606_depth | 00662_depth | 00671_depth | 00672_depth | 00676_depth | 00697_depth | 00708_depth | 00712_depth | 00727_depth | 00731_depth | 00732_depth | 00742_depth | 00743_depth | 00771_depth | 00803_depth | 00811_depth | 00812_depth | 00837_depth | 00849_depth | 00916_depth | 00927_depth | 00959_depth | 00960_depth | 00965_depth | 00971_depth | 00972_depth | 00990_depth | 00991_depth | 00992_depth | 01047_depth | 01048_depth | 01088_depth | 01092_depth | 01102_depth | 01125_depth | 01130_depth | 01143_depth | 01152_depth | 01153_depth | 01155_depth | 01161_depth | 01164_depth | 01170_depth | 01179_depth | 01182_depth | 01191_depth | 01193_depth | 01204_depth | 01211_depth | 01226_depth | 01228_depth | 01232_depth | 01234_depth | 01289_depth | 01328_depth | 01353_depth | 01354_depth | 01355_depth | 01364_depth | 01386_depth | 01387_depth | 01388_depth | 01396_depth | 01397_depth | 01398_depth | 01421_depth | 01423_depth | 01430_depth | 01432_depth | 01443_depth | 01444_depth,motif_survival_neg_only,0.0035436742335025473,0.0012464122189352889,0.0011720927023145533,0.03922000396483949,0.017264987272241905,0.04071111672874028,0.0035357090926328993,0.0012495406232199135,0.0018449596121731249,0.06976744186046512,0.2558139534883721,0.10852713178294573
scene_loo:scene_auto_02,0.03,33,555,99,00028_depth | 00029_depth | 00031_depth | 00038_depth | 00058_depth | 00059_depth | 00076_depth | 00116_depth | 00191_depth | 00192_depth | 00197_depth | 00280_depth | 00357_depth | 00359_depth | 00388_depth | 00394_depth | 00443_depth | 00446_depth | 00473_depth | 00474_depth | 00475_depth | 00476_depth | 00516_depth | 00548_depth | 00554_depth | 00557_depth | 00558_depth | 00605_depth | 00606_depth | 00662_depth | 00671_depth | 00672_depth | 00676_depth | 00697_depth | 00708_depth | 00712_depth | 00727_depth | 00731_depth | 00732_depth | 00742_depth | 00743_depth | 00771_depth | 00803_depth | 00811_depth | 00812_depth | 00837_depth | 00849_depth | 00916_depth | 00927_depth | 00959_depth | 00960_depth | 00965_depth | 00971_depth | 00972_depth | 00990_depth | 00991_depth | 00992_depth | 01047_depth | 01048_depth | 01088_depth | 01092_depth | 01102_depth | 01125_depth | 01130_depth | 01143_depth | 01152_depth | 01153_depth | 01155_depth | 01161_depth | 01164_depth | 01170_depth | 01179_depth | 01182_depth | 01191_depth | 01193_depth | 01204_depth | 01211_depth | 01226_depth | 01228_depth | 01232_depth | 01234_depth | 01289_depth | 01328_depth | 01353_depth | 01354_depth | 01355_depth | 01364_depth | 01386_depth | 01387_depth | 01388_depth | 01396_depth | 01397_depth | 01398_depth | 01421_depth | 01423_depth | 01430_depth | 01432_depth | 01443_depth | 01444_depth,motif_survival_binary,0.011519307551080549,0.006762915257693791,0.005460015726328704,0.04719563728241749,0.022781490311000407,0.04499903975275443,0.0115113424102109,0.006766043661978416,0.006132882636187276,0.007751937984496124,0.007751937984496124,0.007751937984496124
scene_loo:scene_auto_03,0.03,33,595,59,00060_depth | 00061_depth | 00062_depth | 00152_depth | 00153_depth | 00154_depth | 00207_depth | 00358_depth | 00360_depth | 00361_depth | 00362_depth | 00363_depth | 00383_depth | 00384_depth | 00385_depth | 00519_depth | 00520_depth | 00521_depth | 00559_depth | 00602_depth | 00603_depth | 00604_depth | 00643_depth | 00644_depth | 00758_depth | 00820_depth | 00850_depth | 00851_depth | 00917_depth | 00964_depth | 00966_depth | 00993_depth | 00994_depth | 01087_depth | 01089_depth | 01093_depth | 01094_depth | 01095_depth | 01122_depth | 01123_depth | 01124_depth | 01128_depth | 01129_depth | 01134_depth | 01135_depth | 01148_depth | 01154_depth | 01166_depth | 01169_depth | 01192_depth | 01225_depth | 01227_depth | 01229_depth | 01233_depth | 01288_depth | 01307_depth | 01422_depth | 01429_depth | 01431_depth,motif_survival,0.008244684974312855,0.004192852180910811,0.004596556968491372,0.027702447397572105,0.013514355052299587,0.04441387566889671,0.008122082957849663,0.004083865340396509,0.0051008342155357544,0.007751937984496124,0.007751937984496124,0.007751937984496124
scene_loo:scene_auto_03,0.03,33,595,59,00060_depth | 00061_depth | 00062_depth | 00152_depth | 00153_depth | 00154_depth | 00207_depth | 00358_depth | 00360_depth | 00361_depth | 00362_depth | 00363_depth | 00383_depth | 00384_depth | 00385_depth | 00519_depth | 00520_depth | 00521_depth | 00559_depth | 00602_depth | 00603_depth | 00604_depth | 00643_depth | 00644_depth | 00758_depth | 00820_depth | 00850_depth | 00851_depth | 00917_depth | 00964_depth | 00966_depth | 00993_depth | 00994_depth | 01087_depth | 01089_depth | 01093_depth | 01094_depth | 01095_depth | 01122_depth | 01123_depth | 01124_depth | 01128_depth | 01129_depth | 01134_depth | 01135_depth | 01148_depth | 01154_depth | 01166_depth | 01169_depth | 01192_depth | 01225_depth | 01227_depth | 01229_depth | 01233_depth | 01288_depth | 01307_depth | 01422_depth | 01429_depth | 01431_depth,motif_survival_pos_only,0.004064227100774254,0.0025280548013558723,0.003392807243879581,0.023521989524033504,0.011849557672744648,0.043210125944284916,0.003941625084311062,0.00241906796084157,0.0038970844909239633,0.10077519379844961,0.16279069767441862,0.023255813953488372
